央视频道,#genre#
CCTV1,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/608807420.m3u8?migutoken=0750a700442bfa1c44cf8ae9d858158ee31e6f7b22d7f31261cee86f03a1d5cccc9328f38bdf0af12949b3fa2eac63528361e94fa741e3564012a5f6ee5458e5a5a7975ae6a6f1fb389adc4ea
CCTV2,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/631780532.m3u8?migutoken=2657ba54d0ca1ca514715909a2c59710960927d0814591b918c4a011adcc23fc5f7f719558ee2d2719be5bf36a0c2e3d3e1a52ed4da324e1030ec5ebe662948ae72770f17608e0d536c0485a1
CCTV3,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/624878271.m3u8?migutoken=702d2bdad2ab4197023a5a00a065cd67b6fcdccfdab33907dfb40c43028a0f26d0f7c573aceb3549816f28c0165523eb85334c12e30fe3aef530f357ec3667ce37157d69bf7b29ffb04465933
CCTV4,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/608807419.m3u8?migutoken=edf8508f828849a80fe057a9748ed20663e1850e1e4e8330fed6e1dab40b3e12095755f890dc555cd46ae88c54479b7c26c873252770ced8570951d078372de0821b010be3427caa8f87ec2102#http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/631780421.m3u8?migutoken=7f3164d57099adfd5bef74e9b64125cd18586cacd57f5ccfbcd97e6455801679cdce43ec23a90d6dece6eed81daf7e0639b147f51f25d1d23304154572a003c8021e3ab2d5ea7367911b280baf#http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/608807416.m3u8?migutoken=e58925ed38a7f6f29e8c55f0a0e2eeb2d9bb848b3e7eeddc61993eb79951a3b6a7b651847844e6c1413e9838b2d681a4c569d86725fb376751b3e0d2713fd350fbe222129e3abb88bc1673b35
CCTV5,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/641886683.m3u8?migutoken=77f0c548618e5e42bb7bf80c4f009258545d4049642fe079206e982e5f28aa06f2bb8d8ab63f5c519f74f772eef76d514bd132556cf4ae68caabbcc3d4d2efe119537c7e94d9ca40320f25a22
CCTV5+,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/641886773.m3u8?migutoken=c31d257d572779bbffd129cbe2b37c061955b572e64877712d56194e4c68b0ac128cfbe07aa0d87bdceb39911cdfd253013fcd1da398276e163f41ddf772f29743b51720c6133688cd28558add#http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/641886773.m3u8?migutoken=c31d257d572779bbffd129cbe2b37c061955b572e64877712d56194e4c68b0ac128cfbe07aa0d87bdceb39911cdfd253013fcd1da398276e163f41ddf772f29743b51720c6133688cd28558ad
CCTV6,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/624878396.m3u8?migutoken=7808259a90d0d52b292ff59221821a748a7775b22c7d831f16bc88a3fabf6af643c0dafec998d34059235b2b04d26a7dad5bc1f3c8e9253a45b9ddcb36731bd8a4654fbd6cdea695f395ed254
CCTV7,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/673168121.m3u8?migutoken=42c65144118f3d23e25eeed5e34caf04006857c9fff0d052cb7150e407724d5b1fffeb4ec93c8f008ab1a072b08c26547577479fd8d35b50b8ea84f8922746cd9a1f22c12f618c8ae5159ec3d
CCTV8,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/624878356.m3u8?migutoken=aa54b7b92c76b3bdefb474f933500b51a79f723d7f881f82761b06fd5c5a262a3c883609135d457c406d84246d684f44ab8b0e7bce3f616727b8d11bc050ad577d0675c55e150ce0b9eaddc83
CCTV9,http://000.hfr1107.top/tvcs/ph/proxy.php?ua=okHttp%2FMod-1.0.0&url=https://mursor.ottiptv.cc/migu/673168140.m3u8?migutoken=faf8a068a3462eb7dc6058c539f26fc21b41c8d5b87d8aa115a06219943f17627c2d010a1b567adc863dccad78eebd2d814c6607a603bc770c25b6a7aead1ff2fc85cf1b77d4ab0e79f4443ee
